X,Retailer.Id,Retailer.Name,Complete.Address.x,City,State.x,Zip,Zip.4,Status.Description,Acivation.Date,Total.sales,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,calctotal,MatchedAddress,County,Tract,Block,Long,Lat,calctotal2
18,100024,J&K PARTY STORE,1237 PLAINFIELD AVE NE,GRAND RAPIDS,MI,49505,4903,Terminated,5/14/09,518662.5,NA,NA,NA,NA,NA,NA,49963.5,89964,90930.5,103964.5,112523.5,71316.5,NA,NA,518662.5,"1237 Plainfield Ave NE, GRAND RAPIDS, MI, 49505",81,900,3027,-85.66686,42.98565,518.6625
91,100120,BAILEYS GROVE BEVERAGE,3866 52ND SE,KENTWOOD,MI,49512,9637,Active,10/20/09,528344,NA,NA,NA,NA,NA,NA,6502,34611,54340,77415.5,67691,93554,106764.5,87466,528344,"3866 52nd St SE, KENTWOOD, MI, 49512",81,12604,2007,-85.56971,42.86901,528.344
166,100214,TINI BIKINIS BAR & GRILL,76 S DIVISION ST,GRAND RAPIDS,MI,49503,NA,Terminated,11/4/09,37261,NA,NA,NA,NA,NA,NA,466,26562,10233,NA,NA,NA,NA,NA,37261,"76 S Division Ave, GRAND RAPIDS, MI, 49503",81,2000,2002,-85.66784,42.96218,37.261
185,100235,ABC FINE WINES & SPIRITS,3325 28TH ST,KENTWOOD,MI,49512,NA,Terminated,6/5/09,54496.5,NA,NA,NA,NA,NA,NA,13390.5,33416.5,7689.5,NA,NA,NA,NA,NA,54496.5,"3325 28th St SE, KENTWOOD, MI, 49512",81,4400,4008,-85.5852,42.912514,54.4965
218,100281,DOCTOR OIL COMPANY,777 44TH ST,KENTWOOD,MI,49548,NA,Terminated,6/1/09,84376,NA,NA,NA,NA,NA,NA,48222,36154,NA,NA,NA,NA,NA,NA,84376,"777 44th St SE, KENTWOOD, MI, 49548",81,12901,1001,-85.64648,42.88383,84.376
268,100342,CAP & CORK,3924 W RIVER DRIVE,COMSTOCK PARK,MI,49321,8997,Terminated,5/10/10,48215,NA,NA,NA,NA,NA,NA,NA,18716.5,29498.5,NA,NA,NA,NA,NA,48215,"3924 W River Dr NE, COMSTOCK PARK, MI, 49321",81,11101,2031,-85.666214,43.03348,48.215
283,100360,SUPERMERCADO MICHOACAN,602 LEONARD ST NW,GRAND RAPIDS,MI,49504,4205,Terminated,10/22/09,33887,NA,NA,NA,NA,NA,NA,480,22887,10520,NA,NA,NA,NA,NA,33887,"602 Leonard St NW, GRAND RAPIDS, MI, 49504",81,1500,1010,-85.68255,42.985035,33.887
288,100367,JULIANS II,2053 S DIVISION AVE,GRAND RAPIDS,MI,49507,3053,Terminated,6/27/09,319849,NA,NA,NA,NA,NA,NA,112782,207067,NA,NA,NA,NA,NA,NA,319849,"2053 Division Ave S, GRAND RAPIDS, MI, 49507",81,4000,1000,-85.66665,42.926937,319.849
314,100401,STOCKBRIDGE BP,438 STOCKING AVE NW,GRAND RAPIDS,MI,49504,5502,Active,6/17/09,956180.5,NA,NA,NA,NA,NA,NA,68840.5,156038,139748,118269,105879,123720.5,141371,102314.5,956180.5,"438 Stocking Ave NW, GRAND RAPIDS, MI, 49504",81,1900,1039,-85.68434,42.971172,956.1805
317,100406,D&W QUICK STOP #713,6799 CASCADE RD SE,GRAND RAPIDS,MI,49546,0,Active,6/30/09,1213072.5,NA,NA,NA,NA,NA,NA,40550,85852,105804.5,124528,150077.5,235041.5,240816,230403,1213072.5,"6799 Cascade Rd SE, GRAND RAPIDS, MI, 49546",81,12201,3012,-85.49885,42.91305,1213.0725
319,100408,SUPERMERCADO GUADALAJARA,2059 S DIVISION AVE,GRAND RAPIDS,MI,49507,3000,Terminated,10/26/09,75441.5,NA,NA,NA,NA,NA,NA,1604,36810.5,24954.5,12072.5,NA,NA,NA,NA,75441.5,"2059 Division Ave S, GRAND RAPIDS, MI, 49507",81,4000,1006,-85.666626,42.92656,75.4415
409,100521,DUDLEY PARTY STORE,3418 PLAINFIELD AVE,GRAND RAPIDS,MI,49525,2717,Terminated,11/10/09,273470.5,NA,NA,NA,NA,NA,NA,1551,91351,83164,85898,11506.5,NA,NA,NA,273470.5,"3418 Plainfield Ave NE, GRAND RAPIDS, MI, 49525",81,11801,1011,-85.63265,43.024994,273.4705
496,100629,GUDDI BEER & WINE,1220 COLLEGE AVE NE,GRAND RAPIDS,MI,49505,5141,Terminated,2/8/10,25633,NA,NA,NA,NA,NA,NA,NA,25633,NA,NA,NA,NA,NA,NA,25633,"1220 College Ave NE, GRAND RAPIDS, MI, 49505",81,1000,3025,-85.657104,42.985367,25.633
527,100669,PIETRO'S #990,2780 BIRCHCREST SE,GRAND RAPIDS,MI,49506,5477,Terminated,1/26/10,25217,NA,NA,NA,NA,NA,NA,NA,9338,8323,5402,2154,NA,NA,NA,25217,"2780 Birchcrest Dr SE, GRAND RAPIDS, MI, 49506",81,4300,3009,-85.611496,42.9129,25.217
552,100696,FOREST HILLS INN,4609 CASCADE RD,GRAND RAPIDS,MI,49546,3717,Terminated,1/28/10,408714,NA,NA,NA,NA,NA,NA,NA,84392,68053,50352,48043,66995,63969,26910,408714,"4609 Cascade Rd SE, GRAND RAPIDS, MI, 49546",81,11804,1020,-85.55534,42.946087,408.714
553,100697,PFEFFER'S,1054 BURTON SW,WYOMING,MI,49509,NA,Active,2/26/10,1755355.5,NA,NA,NA,NA,NA,NA,NA,89528.5,143125,156507.5,198533,324066.5,481126.5,362468.5,1755355.5,"1054 Burton St SW, WYOMING, MI, 49509",81,13500,2006,-85.69308,42.92798,1755.3555
