X,median.household.income,median_family_income,pop_high_school_diploma,pop_bach_degree,total.population,median.age,state,county,tract,sales,x_2015,n,pc_sales,id,sales_millions
790,40107,57188,382,299,2254,38.8,26,81,1,10212424.5,819280,16,4530.80057675244,1,10.2124245
791,44414,67875,553,206,2038,56.9,26,81,2,0,NA,0,0,2,0
792,50338,64318,788,835,4678,38.7,26,81,3,0,NA,0,0,3,0
793,54978,62895,549,613,3332,35.5,26,81,4,9408135.5,982291.5,7,2823.5700780312127,4,9.4081355
794,50938,58413,441,768,3623,38.4,26,81,5,5475335,614447,5,1511.271046094397,5,5.475335
795,60231,68393,568,884,3680,44.7,26,81,6,5313743,337155.5,6,1443.9519021739131,6,5.313743
796,48703,53580,592,455,3267,32.8,26,81,7,4152006.5,378838,1,1270.8927150290788,7,4.1520065
797,29255,29116,642,245,3458,28.1,26,81,8,34492099.5,2395781,30,9974.58053788317,8,34.4920995
798,37424,35700,363,262,2928,27.3,26,81,9,29534835.5,1621540.5,22,10087.033982240437,9,29.5348355
799,42263,57788,703,531,4206,36.3,26,81,10,10959109,1124020,25,2605.5893961008082,10,10.959109
800,40585,42500,1109,450,6433,31.9,26,81,11.01,28989440,2325529.5,11,4506.364060314006,11.01,28.98944
801,42665,56364,641,632,4135,41.6,26,81,11.02,0,NA,0,0,11.02,0
802,41208,49722,432,327,3297,29.5,26,81,12,6753421.5,518093,4,2048.353503184713,12,6.7534215
803,22105,23989,576,166,3867,27,26,81,13,383269,0,2,99.11274890095682,13,0.383269
804,32422,32458,239,396,2245,26.9,26,81,14,2829454,143285.5,9,1260.3358574610245,14,2.829454
805,27056,25054,367,194,3881,23.8,26,81,15,5442540.5,530628,7,1402.3551919608349,15,5.4425405
806,28500,25361,1125,261,5656,30.8,26,81,16,24353513,2220288.5,16,4305.783769448373,16,24.353513
807,52059,69375,677,724,4511,44.3,26,81,17,0,NA,0,0,17,0
808,47276,61577,1308,725,6290,43.9,26,81,18,11721292.5,994060.5,9,1863.4805246422893,18,11.7212925
809,37192,41636,510,372,4596,28.6,26,81,19,51672648.5,3367342.5,51,11242.960944299391,19,51.6726485
810,12438,26563,229,285,2079,31.6,26,81,20,6004512,407010,14,2888.1731601731603,20,6.004512
811,16868,51477,159,535,2638,28.7,26,81,21,2253374.5,124380,5,854.19806671721,21,2.2533745
812,34853,44966,517,797,4611,29,26,81,22,33205396.5,2164346.5,23,7201.343851659076,22,33.2053965
813,53025,69167,371,1054,3745,41.4,26,81,23,15488066,1170454.5,12,4135.665153538051,23,15.488066
814,50455,61406,172,455,3243,22.6,26,81,24,5855100,194542.5,9,1805.4579093432008,24,5.8551
815,31360,41250,227,849,4159,28.5,26,81,25,6110834.5,546158,10,1469.3037989901418,25,6.1108345
816,19750,20216,343,39,3184,25.2,26,81,26,8324235.5,795399.5,19,2614.3955716080404,26,8.3242355
817,27629,31250,570,141,3503,26.7,26,81,27,12628326,907216,12,3605.0031401655724,27,12.628326
818,17708,20719,122,21,1544,23.8,26,81,28,13001666,965208,9,8420.768134715026,28,13.001666
819,38892,45625,98,181,1546,27.8,26,81,29,5549362,520737.5,5,3589.496765847348,29,5.549362
820,38550,35909,164,291,1499,28.9,26,81,30,8888669,644489,5,5929.732488325551,30,8.888669
821,22139,35150,435,64,2989,32.3,26,81,31,2287906,127246,2,765.4419538307126,31,2.287906
822,26929,30668,597,147,4913,26.8,26,81,32,10153921.5,862588,4,2066.7456747404844,32,10.1539215
823,45208,55625,542,426,3923,32.3,26,81,33,1843859,186703.5,3,470.01249044098904,33,1.843859
824,49018,65463,398,919,5353,33.2,26,81,34,11113263.5,544355,7,2076.0813562488324,34,11.1132635
825,33382,39215,804,342,5794,27.8,26,81,35,15507635,1113306.5,9,2676.498964445979,35,15.507635
826,22500,23813,219,37,2302,27.4,26,81,36,8638888.5,784992.5,6,3752.7751954821892,36,8.6388885
827,34158,38284,632,183,4789,23.4,26,81,37,20171771.5,1767771.5,26,4212.105136771768,37,20.1717715
828,27902,28516,394,85,4259,24.3,26,81,38,5435092,851204.5,9,1276.1427565156139,38,5.435092
829,30399,30030,323,21,3159,24.8,26,81,39,2958250.5,104444.5,7,936.451566951567,39,2.9582505
830,35000,34125,396,68,3900,24.7,26,81,40,12848056.5,1001770,20,3294.3734615384615,40,12.8480565
831,56205,64342,326,720,4770,32.1,26,81,41,23358594.5,2291293.5,13,4896.979979035639,41,23.3585945
832,52455,60500,593,744,3995,31.7,26,81,42,6181206,783616,7,1547.235544430538,42,6.181206
833,59712,84716,416,817,3974,41.6,26,81,43,3120387,279934.5,5,785.2005535983895,43,3.120387
834,53774,76696,697,1266,7401,28.5,26,81,44,12433823.5,1452215.5,13,1680.01938927172,44,12.4338235
835,49511,57246,976,1099,7103,44.2,26,81,45,20015388.5,2030111,15,2817.878150077432,45,20.0153885
836,40383,48699,901,514,5571,37.3,26,81,46,44412581.5,3240129.5,15,7972.102225812242,46,44.4125815
837,61528,67168,1244,422,5746,38.4,26,81,101.01,5173508,174548,10,900.3668639053254,101.01,5.173508
838,48486,53882,486,292,2577,45.4,26,81,101.02,1853320,0,2,719.1773379899107,101.02,1.85332
